num,year,sikibetu1,sikibetu2,
285,1942,285s,285n,
364,1942,364s,364n,
411,1942,411s,411n,
460,1942,460w,460e,
533,1942,533s,533n,
547,1942,547e,547w,
729,1942,729s,729sw,
826,1942,826s,826n,
32,1943,32w,32e,
34,1943,34se,34ne,
91,1943,91se,91ne,
117,1943,117sw,117ne,
135,1943,135nw,135se,
177,1943,177nw,177se,
179,1943,179s,179n,
224,1943,224s,224s,
285,1943,285s,285n,
364,1943,364s,364n,
411,1943,411s,411n,
460,1943,460w,460e,
533,1943,533s,533n,
547,1943,547e,547w,
729,1943,729s,729sw,
826,1943,826s,826n,
32,1944,32w,32e,
34,1944,34se,34ne,
91,1944,91se,91ne,
117,1944,117sw,117ne,
135,1944,135nw,135se,
144,1944,144se,144nw,
177,1944,177nw,177se,
179,1944,179s,179n,
224,1944,224s,224s,
285,1944,285s,285n,
364,1944,364s,364n,
411,1944,411s,411n,
460,1944,460w,460e,
533,1944,533s,533n,
547,1944,547e,547w,
729,1944,729s,729sw,
826,1944,826s,826n,
32,1945,32w,32e,
34,1945,34se,34ne,
91,1945,91se,91ne,
117,1945,117sw,117ne,
135,1945,135nw,135se,
144,1945,144se,144nw,
177,1945,177nw,177se,
179,1945,179s,179n,
224,1945,224s,224s,
285,1945,285s,285n,
364,1945,364s,364n,
411,1945,411s,411n,
460,1945,460w,460e,
533,1945,533s,533n,
547,1945,547e,547w,
729,1945,729s,729sw,
826,1945,826s,826n,
32,1946,32w,32e,
34,1946,34se,34ne,
91,1946,91se,91ne,
117,1946,117sw,117ne,
135,1946,135nw,135se,
144,1946,144se,144nw,
177,1946,177nw,177se,
179,1946,179s,179n,
224,1946,224s,224s,
285,1946,285s,285n,
364,1946,364s,364n,
411,1946,411s,411n,
460,1946,460w,460e,
533,1946,533s,533n,
547,1946,547e,547w,
729,1946,729s,729sw,
826,1946,826s,826n,
32,1947,32w,32e,
34,1947,34se,34ne,
91,1947,91se,91ne,
117,1947,117sw,117ne,
135,1947,135nw,135se,
144,1947,144se,144nw,
177,1947,177nw,177se,
179,1947,179s,179n,
224,1947,224s,224s,
285,1947,285s,285n,
364,1947,364s,364n,
411,1947,411s,411n,
460,1947,460w,460e,
533,1947,533s,533n,
547,1947,547e,547w,
729,1947,729s,729sw,
826,1947,826s,826n,
11,1948,11n,11s,
32,1948,32w,32e,
34,1948,34se,34ne,
91,1948,91se,91ne,
117,1948,117sw,117ne,
135,1948,135nw,135se,
144,1948,144se,144nw,
177,1948,177nw,177se,
179,1948,179s,179n,
224,1948,224s,224s,
285,1948,285s,285n,
302,1948,302s,302n,
