pre1,pre2,kyori
石川県,北海道,823.9
石川県,青森県,590.2
石川県,岩手県,525.8
石川県,宮城県,419.2
石川県,秋田県,461.6
石川県,山形県,377.9
石川県,福島県,364.5
石川県,茨城県,343.6
石川県,栃木県,291.6
石川県,群馬県,219.4
石川県,埼玉県,283.9
石川県,千葉県,333.5
石川県,東京都,293.6
石川県,神奈川県,300.2
石川県,新潟県,257.5
石川県,富山県,53.6
石川県,石川県,0
石川県,福井県,69
石川県,山梨県,203.1
石川県,長野県,139.3
石川県,岐阜県,133.8
石川県,静岡県,239.7
石川県,愛知県,159
石川県,三重県,207.1
石川県,滋賀県,189.2
石川県,京都府,191.4
石川県,大阪府,234.2
石川県,兵庫県,248.3
石川県,奈良県,223.7
石川県,和歌山県,294.2
石川県,鳥取県,246.8
石川県,島根県,345.4
石川県,岡山県,324.6
石川県,広島県,449.8
石川県,山口県,539
石川県,徳島県,337.6
石川県,香川県,342.7
石川県,愛媛県,465.5
石川県,高知県,439.3
石川県,福岡県,655.7
石川県,佐賀県,686.7
石川県,長崎県,751.7
石川県,熊本県,684.4
石川県,大分県,590.2
石川県,宮崎県,706.5
石川県,鹿児島県,790.5
石川県,沖縄県,1429.7
福井県,北海道,892.7
福井県,青森県,659.1
福井県,岩手県,592.4
福井県,宮城県,479.9
福井県,秋田県,529.9
福井県,山形県,440
福井県,福島県,422
福井県,茨城県,381.1
福井県,栃木県,333.5
福井県,群馬県,257.8
福井県,埼玉県,310
福井県,千葉県,356.2
福井県,東京都,316.1
福井県,神奈川県,316.8
福井県,新潟県,322.1
福井県,富山県,113
福井県,石川県,69
福井県,福井県,0
福井県,山梨県,216.5
福井県,長野県,187.5
福井県,岐阜県,87.4
福井県,静岡県,230.2
福井県,愛知県,116.1
福井県,三重県,150.4
福井県,滋賀県,122
福井県,京都府,123.3
福井県,大阪府,165.7
福井県,兵庫県,179.3
福井県,奈良県,157.1
福井県,和歌山県,225.5
福井県,鳥取県,189.9
福井県,島根県,294.2
福井県,岡山県,259.7
福井県,広島県,389.3
福井県,山口県,480.5
福井県,徳島県,268.7
福井県,香川県,275.6
福井県,愛媛県,400.6
福井県,高知県,371.3
福井県,福岡県,596.7
福井県,佐賀県,626.2
福井県,長崎県,690.1
福井県,熊本県,620.9
福井県,大分県,526.1
福井県,宮崎県,639.2
福井県,鹿児島県,724.1
福井県,沖縄県,1361.3
山梨県,北海道,855.6
山梨県,青森県,603.5
山梨県,岩手県,502.9
山梨県,宮城県,354.5
山梨県,秋田県,469.9
山梨県,山形県,327.6
山梨県,福島県,287
山梨県,茨城県,185.3
山梨県,栃木県,155
山梨県,群馬県,92.1
山梨県,埼玉県,100
山梨県,千葉県,141
山梨県,東京都,101.7
山梨県,神奈川県,100.3
山梨県,新潟県,251.7
山梨県,富山県,167.3
山梨県,石川県,203.1
山梨県,福井県,216.5
山梨県,山梨県,0
山梨県,長野県,115
山梨県,岐阜県,170.1
山梨県,静岡県,78.1
山梨県,愛知県,160.2
山梨県,三重県,214.3
山梨県,滋賀県,256.1
山梨県,京都府,265.4
山梨県,大阪府,298.1
山梨県,兵庫県,326.7
山梨県,奈良県,271.8
山梨県,和歌山県,349.2
山梨県,鳥取県,392.8
山梨県,島根県,500.6
山梨県,岡山県,436.5
山梨県,広島県,574.8
山梨県,山口県,668.7
山梨県,徳島県,407.1
山梨県,香川県,438.3
山梨県,愛媛県,568.3
山梨県,高知県,517.5
山梨県,福岡県,781.1
山梨県,佐賀県,805.4
山梨県,長崎県,864.2
山梨県,熊本県,788.1
山梨県,大分県,693.3
山梨県,宮崎県,781.4
山梨県,鹿児島県,871.2
山梨県,沖縄県,1474.6
長野県,北海道,761.7
長野県,青森県,513.8
長野県,岩手県,427.2
長野県,宮城県,298.1
長野県,秋田県,379.8
長野県,山形県,261.5
長野県,福島県,236.8
長野県,茨城県,205.9
長野県,栃木県,152.6
長野県,群馬県,83.9
長野県,埼玉県,158.7
長野県,千葉県,209.9
長野県,東京都,172.8
長野県,神奈川県,187.5
長野県,新潟県,157.7
長野県,富山県,86.8
長野県,石川県,139.3
長野県,福井県,187.5
長野県,山梨県,115
長野県,長野県,0
長野県,岐阜県,192
長野県,静岡県,186.7
長野県,愛知県,199.7
長野県,三重県,261.4
長野県,滋賀県,277.6
長野県,京都府,284.1
長野県,大阪府,324.9
長野県,兵庫県,347.8
長野県,奈良県,304.6
長野県,和歌山県,383.7
長野県,鳥取県,377.3
長野県,島根県,480.3
長野県,岡山県,443.3
長野県,広島県,576
長野県,山口県,667.7
長野県,徳島県,436.6
長野県,香川県,454.6
長野県,愛媛県,583
長野県,高知県,545.2
長野県,福岡県,783.7
長野県,佐賀県,812.5
長野県,長崎県,875.6
長野県,熊本県,804.5
長野県,大分県,709.3
長野県,宮崎県,814.2
長野県,鹿児島県,901.5
長野県,沖縄県,1526.3
岐阜県,北海道,940.4
岐阜県,青森県,698.3
岐阜県,岩手県,618.2
岐阜県,宮城県,488.8
岐阜県,秋田県,565.5
岐阜県,山形県,453.3
岐阜県,福島県,425.3
岐阜県,茨城県,352.5
岐阜県,栃木県,313.5
岐阜県,群馬県,238.5
岐阜県,埼玉県,270.1
岐阜県,千葉県,309.5
岐阜県,東京都,271.3
岐阜県,神奈川県,265.3
岐阜県,新潟県,346.4
岐阜県,富山県,151.3
岐阜県,石川県,133.8
岐阜県,福井県,87.4
岐阜県,山梨県,170.1
岐阜県,長野県,192
岐阜県,岐阜県,0
岐阜県,静岡県,158.1
岐阜県,愛知県,28.8
岐阜県,三重県,75.9
岐阜県,滋賀県,88.8
岐阜県,京都府,97.1
岐阜県,大阪府,134.7
岐阜県,兵庫県,160.5
岐阜県,奈良県,112.8
岐阜県,和歌山県,192.2
岐阜県,鳥取県,225.8
岐阜県,島根県,333.5
岐阜県,岡山県,266.9
岐阜県,広島県,404.9
岐阜県,山口県,498.7
岐阜県,徳島県,246.7
岐阜県,香川県,271.3
岐阜県,愛媛県,401.4
岐阜県,高知県,356.6
岐阜県,福岡県,611.8
岐阜県,佐賀県,637
岐阜県,長崎県,697.1
岐阜県,熊本県,622.6
岐阜県,大分県,527.4
岐阜県,宮崎県,624.7
岐阜県,鹿児島県,713
岐阜県,沖縄県,1334.3
静岡県,北海道,933.6
静岡県,青森県,681.3
静岡県,岩手県,579.1
静岡県,宮城県,427.8
静岡県,秋田県,547.8
静岡県,山形県,403.1
静岡県,福島県,360.1
静岡県,茨城県,240.5
静岡県,栃木県,222.5
静岡県,群馬県,168.5
静岡県,埼玉県,150.8
静岡県,千葉県,172.9
静岡県,東京都,142.8
静岡県,神奈川県,126
静岡県,新潟県,329.6
静岡県,富山県,218.1
静岡県,石川県,239.7
静岡県,福井県,230.2
静岡県,山梨県,78.1
静岡県,長野県,186.7
静岡県,岐阜県,158.1
静岡県,静岡県,0
静岡県,愛知県,136.5
静岡県,三重県,173.6
静岡県,滋賀県,229.6
静岡県,京都府,239.9
静岡県,大阪府,263.9
静岡県,兵庫県,294.4
静岡県,奈良県,235.5
静岡県,和歌山県,306.5
静岡県,鳥取県,381.7
静岡県,島根県,488.5
静岡県,岡山県,408.4
静岡県,広島県,546.5
静岡県,山口県,640.1
静岡県,徳島県,365.3
静岡県,香川県,404
静岡県,愛媛県,531.5
静岡県,高知県,473.6
静岡県,福岡県,748.7
静岡県,佐賀県,769.8
静岡県,長崎県,825.5
静岡県,熊本県,747.1
静岡県,大分県,653.6
静岡県,宮崎県,730.7
