year,origin,destination,gender,migration
2018,山梨県,宮城県,女,57
2018,長野県,宮城県,総数,323
2018,長野県,宮城県,男,190
2018,長野県,宮城県,女,133
2018,岐阜県,宮城県,総数,152
2018,岐阜県,宮城県,男,97
2018,岐阜県,宮城県,女,55
2018,静岡県,宮城県,総数,673
2018,静岡県,宮城県,男,438
2018,静岡県,宮城県,女,235
2018,愛知県,宮城県,総数,1152
2018,愛知県,宮城県,男,732
2018,愛知県,宮城県,女,420
2018,三重県,宮城県,総数,181
2018,三重県,宮城県,男,112
2018,三重県,宮城県,女,69
2018,滋賀県,宮城県,総数,133
2018,滋賀県,宮城県,男,76
2018,滋賀県,宮城県,女,57
2018,京都府,宮城県,総数,323
2018,京都府,宮城県,男,192
2018,京都府,宮城県,女,131
2018,大阪府,宮城県,総数,972
2018,大阪府,宮城県,男,590
2018,大阪府,宮城県,女,382
2018,兵庫県,宮城県,総数,476
2018,兵庫県,宮城県,男,298
2018,兵庫県,宮城県,女,178
2018,奈良県,宮城県,総数,108
2018,奈良県,宮城県,男,65
2018,奈良県,宮城県,女,43
2018,和歌山県,宮城県,総数,56
2018,和歌山県,宮城県,男,35
2018,和歌山県,宮城県,女,21
2018,鳥取県,宮城県,総数,36
2018,鳥取県,宮城県,男,26
2018,鳥取県,宮城県,女,10
2018,島根県,宮城県,総数,30
2018,島根県,宮城県,男,16
2018,島根県,宮城県,女,14
2018,岡山県,宮城県,総数,159
2018,岡山県,宮城県,男,100
2018,岡山県,宮城県,女,59
2018,広島県,宮城県,総数,326
2018,広島県,宮城県,男,196
2018,広島県,宮城県,女,130
2018,山口県,宮城県,総数,84
2018,山口県,宮城県,男,53
2018,山口県,宮城県,女,31
2018,徳島県,宮城県,総数,35
2018,徳島県,宮城県,男,20
2018,徳島県,宮城県,女,15
2018,香川県,宮城県,総数,103
2018,香川県,宮城県,男,63
2018,香川県,宮城県,女,40
2018,愛媛県,宮城県,総数,89
2018,愛媛県,宮城県,男,46
2018,愛媛県,宮城県,女,43
2018,高知県,宮城県,総数,49
2018,高知県,宮城県,男,32
2018,高知県,宮城県,女,17
2018,福岡県,宮城県,総数,604
2018,福岡県,宮城県,男,368
2018,福岡県,宮城県,女,236
2018,佐賀県,宮城県,総数,34
2018,佐賀県,宮城県,男,22
2018,佐賀県,宮城県,女,12
2018,長崎県,宮城県,総数,79
2018,長崎県,宮城県,男,46
2018,長崎県,宮城県,女,33
2018,熊本県,宮城県,総数,129
2018,熊本県,宮城県,男,74
2018,熊本県,宮城県,女,55
2018,大分県,宮城県,総数,63
2018,大分県,宮城県,男,39
2018,大分県,宮城県,女,24
2018,宮崎県,宮城県,総数,163
2018,宮崎県,宮城県,男,113
2018,宮崎県,宮城県,女,50
2018,鹿児島県,宮城県,総数,102
2018,鹿児島県,宮城県,男,63
2018,鹿児島県,宮城県,女,39
2018,沖縄県,宮城県,総数,223
2018,沖縄県,宮城県,男,119
2018,沖縄県,宮城県,女,104
2018,北海道,秋田県,総数,479
2018,北海道,秋田県,男,267
2018,北海道,秋田県,女,212
2018,青森県,秋田県,総数,885
2018,青森県,秋田県,男,514
2018,青森県,秋田県,女,371
2018,岩手県,秋田県,総数,812
2018,岩手県,秋田県,男,473
2018,岩手県,秋田県,女,339
2018,宮城県,秋田県,総数,1593
2018,宮城県,秋田県,男,909
2018,宮城県,秋田県,女,684
2018,秋田県,秋田県,総数,0
2018,秋田県,秋田県,男,0
